names,places,date_mon_yr,hr_min,time_words,date,month,hr_kannada
ಚಂದ್ರು,ದೆಹಲಿ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,11,ಫೆಬ್ರವರಿ,ಒಂದು
ಅಶು,ಕೊಲಂಬಿಯಾ,21/2/2018,10:35,ಹತ್ತೂಮುಕ್ಕಾಲಿಗೆ,12,ಮಾರ್ಚ್,ಎರಡು
ದಯಾನಂದ,ಮುಂಬೈ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,13,ಏಪ್ರಿಲ್,ಮೂರು
ಸೌಮ್ಯ,ಬೆಂಗಳೂರು,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,14,ಮೇ,ನಾಲಕ್ಕು
ಅಭಿಷೇಕ,ನೆಲಮಾಂಗಲ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,15,ಜೂನ್,ಐದು
ನಾರಾಯಣ್,ಯಶ್ವಂತ್ಪುರ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,16,ಜೂಲೈ,ಆರು
ಕಾವ್ಯಾ,ಪೀನ್ಯ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,17,ಆಗಸ್ಟ್,ಏಳು
ಚಂದಾನಾ,ಜಲಹಳ್ಳಿ ಕ್ರಾಸ್,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,18,ಸೆಪ್ಟೆಂಬರ್,ಎಂಟು
ಮಧು,ಬಾಗಲಗುಂಟೆ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,16,ಅಕ್ಟೋಬರ್,ಒಂಬತ್ತು
ರೊಮಿಯೊ,ಮೆಜೆಸ್ಟಿಕ್,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,17,ನವೆಂಬರ್,ಹತ್ತು
ಜೂಲಿಯೆಟ್,ಮಲ್ಲೇಶ್ವರಂ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,15,ಡಿಸೆಂಬರ್,ಹನ್ನೊಂದು
ಮಥವ ಪಾಲ್,ಕ್ರ ಪುರಂ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,23,ಡಿಸೆಂಬರ್,ಹನ್ನೆರಡು
ಸರಬಜೀತ್ ಸಿಂಗ್ ಬಿಕ್ಲು ,ಡಿ.ವಿ.ಜಿ. ರೋಡ್,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,24,ಡಿಸೆಂಬರ್,ಹನ್ನೆರಡು
ರಶ್ಮಿ ಗೌಡ,ಲಾಲಬಾಗ್,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,26,ಡಿಸೆಂಬರ್,ಹನ್ನೆರಡು
ಉಮೇಶ್ ಕುಚ್ಚನೂರ್ ,ಕೋರಮಂಗಲ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,27,ಡಿಸೆಂಬರ್,ಹನ್ನೆರಡು
ಪಂಕಜ್ ಕುಮಾರ್ ಬಿಸ್ವಾಸ್,ಬನಶಂಕರಿ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,11,ಡಿಸೆಂಬರ್,ಹನ್ನೆರಡು
ಸಂತೋಷ್ ಸಿಂಗ್,ದಾವಣಗೆರೆ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,18,ಜನವರಿ,ಹನ್ನೆರಡು
ಚೇತನ್ ಸಿಂಗ್,ಚಿತ್ರದುರ್ಗ,21/2/2018,10:35,ಹತ್ತುಗಂಟೆಗೆ,31,ಜನವರಿ,ಹನ್ನೆರಡು
